Front,Back,Chapter
What is the EU Growth prospectus?,"Proportionate disclosure regime for SMEs and certain issuers/offerors (e.g., offers ≤ €20m; SME growth market capitalisation thresholds; specific format/simple language).

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Who can use the simplified prospectus?,"Issuers/offerors with securities admitted to trading for ≥18 months (or ≥2 years on an SME market seeking RM admission) for fungible or non‑equity issues.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
What are the prospectus signatories and liability?,"Issuer/offeror/applicant (or representative) sign; claims against signatories can be brought within 2 years from availability of securities.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Who is the competent authority in Cyprus?,"CySEC supervises and implements the prospectus regulation; approves within 10 working days; ESMA notified within 1 working day.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Language and fees?,"Law enacts obligations on language used and fees charged by the supervisory authority.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Are summaries always required?,"Not for non‑equity prospectuses traded only on regulated markets with denomination ≥ €100,000.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
What must financial information in a prospectus cover?,"Issuer assets/liabilities, P&L, financial position, prospects; security rights; reasons for issuance (per recap).

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
How are whistleblowers protected?,"CA must provide secure reporting channels, protect whistleblowers and reported persons, and may offer financial incentives; publish administrative sanctions on the CA website.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Minimum maximum fines for infringements?,"At least €700,000 for natural persons and €5,000,000 or 3% of annual turnover for legal persons (per slides).

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Voluntary prospectus cases?,"Where security type is exempt or obligation is waived, a prospectus may still be drawn voluntarily.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
What documents can form the prospectus?,"Registration document, securities note, and summary (separate documents permitted).

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Validity of base prospectus and final terms?,"Base prospectus valid 12 months; final terms published at the stated website address.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Which issuers are in scope of transparency rules?,"Issuers with securities admitted to trading on a regulated market (Laws 2007–2017).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Who is responsible for periodic information?,"Issuer’s administrative, management and supervisory bodies.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Annual report timing and content?,"Publish within 4 months of year end; includes audited FS and management report; public for ≥10 years; statements by BoD/CEO/CFO.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Half‑year report timing and content?,"Publish within 3 months of period end; public for ≥10 years; if unaudited, disclose that fact.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Interim management report must include?,"Detailed economic analysis; extraordinary items; comparative analysis; key events in first 6 months; principal risks for next 6 months; info affecting P&L; related‑party transactions for share issuers.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Examples of publication exemptions?,"MS governments/authorities, ECB/CBC/EFSF, and issuers of debt with denominations ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Can issuers use electronic communication to holders?,"Yes, regardless of location/residence; with identification arrangements, holder consent, and issuer‑set costs.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Where may a debt‑holder meeting be held for large denominations?,"Any Member State if invitations are sent to debt holders with per‑unit value ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
When does a person become a shareholder for notification?,"When they acquire shares with attached voting rights.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Which voting thresholds trigger notifications?,"Reaching/crossing 5%, 10%, 15%, 20%, 25%, 30%, 50%, or 75% (upwards or downwards).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Name situations requiring aggregation for notifications.,"Common policy agreements; temporary transfer of voting rights; collateral where control and intention to exercise exist; life interest; deposits with discretionary voting; third‑party holdings on behalf; proxies without instructions.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Are initial and subsequent transactions notifiable?,"Yes—both initial holdings and subsequent changes must be notified to issuer and CySEC.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Exemptions from shareholder notification (examples)?,"Clearing/settlement within 3 business days; custodians (capacity‑based) without discretion; market makers up to 5%; trading book holdings up to 5%; ESCB holdings; stabilisation activities.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
How are fines structured for non‑disclosure of voting changes?,"Up to €85k, or up to €170k for repeated infringements (per recap).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
What are maximum general fines under transparency laws?,"Up to twice the infringement; legal up to €10m, natural up to €2m (per recap).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
What record‑keeping is needed for electronic comms?,"Identification/record‑keeping arrangements and holder consent retained; issuer defines any costs.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Do thresholds apply even if rights are suspended?,"Yes—voting rights are calculated on all shares even if exercise is suspended.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
How long must reports remain publicly available?,"At least 10 years.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Who must be clearly identified in the periodic reports?,"BoD, CEO, and CFO names/functions with their statements.

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Does non‑intervention in management affect notification?,"Voting rights held but not exercised to intervene may affect how obligations are interpreted (per slides’ note).

Source: SALVUS Advanced Examination – Chapter 13 (Transparency Laws).",Chapter 13 – Transparency Laws
Which Regulation governs market abuse?,"EU Regulation 596/2014 (MAR).

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Define inside information.,"Information of a precise nature, non‑public, relating to issuers or instruments, which would likely have a significant price effect if made public.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Is possession of inside information itself a violation?,"No. The violation is using it (insider dealing) or unlawfully disclosing it.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
What is market sounding?,"Pre‑announcement communication to gauge investor interest; ceases to be inside information when handled per MAR and disclosures.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Consent and confidentiality for market sounding?,"Obtain recipient consent and inform them to keep the information confidential; keep records for 5 years.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Who must maintain insider lists?,"Issuers with instruments on RMs/MTFs/OTFs (exemption for SME Growth Market instruments); include advisors, auditors, CRAs, etc.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
What must an insider list include?,"Identity; reason for inclusion; date/time access obtained; date/time of list updates.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Managers’ transactions notification deadline?,"Notify competent authority ASAP and no later than 3 business days after the transaction; thresholds e.g., > €5,000 (may rise to €20,000).

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Closed periods for PDMRs?,"No transactions prior to announcement of interim or year‑end reports.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Define market manipulation.,"Disseminating false/misleading information or other practices giving misleading signals about supply/demand or securing abnormal/artificial prices.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
What systems must firms have to prevent/detect abuse?,"Arrangements/procedures to detect/report (attempted) insider dealing or manipulation; report suspicious orders/transactions immediately to CA.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Accepted Market Practices—key criteria?,"Transparency; safeguards for market forces; positive liquidity/efficiency impact; account for market mechanisms; avoid risks to integrity; not infringe abuse rules or codes.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Investment recommendations—disclosure duty?,"Ensure objective presentation and disclose all interests/conflicts unless disclosure would itself mislead/abuse the market.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Examples of administrative measures for infringements?,"Cease/refrain orders; disgorgement of profits; public warning; licence withdrawal/suspension; temporary/permanent bans for responsible persons.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Max pecuniary sanctions (insider dealing/manipulation)?,"Natural: up to €5,000,000; Legal: up to €15,000,000 or 15% of total annual turnover.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Max sanctions for prevention/disclosure failures?,"Natural: up to €1,000,000; Legal: up to €2,500,000 or 2% of total annual turnover.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Max sanctions for insider lists/managers’ transactions/recommendations?,"Natural: up to €500,000; Legal: up to €1,000,000.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
What is the role of MAR in modern markets?,"Keep pace with market developments; ban abuse; strengthen regulators’ powers and sanctions.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Are orders that are amended/cancelled based on inside info covered?,"Yes—insider dealing applies to cancellations/amendments made due to inside info after placing an order.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Who must report suspicious activity?,"Market operators and investment firms must report suspicious orders/transactions/cancellations to the competent authority without delay.

Source: SALVUS Advanced Examination – Chapter 14 (Market Abuse).",Chapter 14 – Market Abuse
Scope of Law 87(I)/2017?,"Applies to CIFs, market operators, DRSPs, and third‑country firms via a Cyprus branch; sets authorisation and supervision framework.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Third‑country firms marketing in Cyprus—what must they do?,"Establish a Cypriot branch supervised by CySEC/CBC and comply with the Law; services marketed only via the branch.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
List three exemptions from Law 87(I)/2017.,"Insurance/reinsurance; intragroup services; incidental services in a regulated profession; plus others like certain own‑account dealers.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Who supervises CIFs and UCITS in Cyprus?,"CySEC; it also supervises AIFMs, ASPs, persons serving supervised entities, and branches located in Cyprus.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Two key CySEC responsibilities under the Law?,"Maintain a public register of persons acting for CIFs/EU IFs; ensure persons are of good repute and appropriately knowledgeable.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
When may CySEC/CBC share confidential info?,"With ESMA, ESRB, CBC/ECB, other EU central banks and competent authorities under EU law.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Name two powers of the Central Bank of Cyprus.,"Demand information incl. phone/data records; order cessation of practices; freeze assets; conduct on‑site inspections.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
What principle guides CySEC’s supervisory intensity?,"Proportionality—size, nature and complexity; minimum annual reviews.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
ICF: who can be members?,"CIFs, AIFMs and management companies that provide PM, advisory, custody/management of UCITS; certain branches (voluntary).

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
ICF funding sources?,"Initial, annual and additional contributions; unclaimed funds; resources from suspensions/withdrawals; administrative expenses.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
ICF coverage amount and timeline?,"Up to the lesser of €20,000 or 90% of covered claims; aim to pay within three months of the ICF decision.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Are ICF contributions an asset of the member?,"No—contributions are not the member’s asset.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
One class excluded from ICF coverage?,"Investors responsible for the member’s difficulties; affiliates; close relatives/agents acting for them (see list).

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Criminal penalty for violating Law 87(I)/2017?,"Imprisonment up to 5 years and/or a fine up to €700,000; BoD/management bodies may be criminally liable.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Who keeps public registers of authorised persons?,"CySEC—establishes, maintains and updates the register of persons acting for CIFs/EU IFs.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
What must a third‑country firm satisfy if not under MiFIR Art.46 regime?,"Authorisation in home state, compliance with Cyprus law, and establishment of a branch in Cyprus.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Can CySEC cooperate with other NCAs?,"Yes—cooperates with other NCAs and ESMA; can share necessary confidential information.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
Example of exempt participant related to emissions trading?,"Operators dealing in greenhouse gas emission allowances meeting conditions (no client orders, etc.).

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
What documents must be accurate when submitted?,"All information, data, documents or forms to CySEC/CBC or made public must be correct, complete and not misleading.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
High‑level purpose of the Law?,"To regulate authorization/operation and ensure prudent supervision/enforcement over investment services in Cyprus.

Source: SALVUS Advanced Examination – Chapter 1.",Chapter 1 – Investment Services Law
How long can CySEC take to grant initial CIF authorisation?,"Up to 6 months for a successful application.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Is authorisation valid across the EU?,"Yes—passporting directly or via a branch; CySEC communicates authorisations to ESMA and maintains a register.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Must CIF websites disclose authorisation info?,"Yes—state CySEC authorisation, registration number, and scope of authorisation.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Are ancillary services alone authorisable?,"No—authorisation is not granted only for ancillary services.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Name three continuous obligations of a CIF.,"Organisational arrangements, ongoing capital, and outsourcing oversight; regular reviews.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
CySEC’s primary concern in conduct?,"Conflicts of interest between the firm and clients or between two clients—must be disclosed before business.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
One withdrawal ground related to inactivity?,"No use of the licence for 12 months or no services/activities for 6 months.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Two other withdrawal grounds?,"Voluntary renunciation; false/misleading authorisation info; failure to meet conditions; serious/systematic violations.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Who are eligible counterparties (examples)?,"CIFs, credit institutions, insurers, UCITS/pension funds and their MCs, governments, central banks.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Binary options allowable conditions (per slides)?,"Lower fixed amount = price paid; validity > 90 days; issuer publishes prospectus and is not exposed to market risk.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Core CFD retail safeguards listed?,"Initial margin; closing margin; negative balance protection; no bonuses.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
SME Growth Market issuer criteria (slides recap)?,"Shares admitted < 3 years; market cap < €200m; base price rules vary by time since first trading.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
DRSP types?,"APA, ARM, and CTP—listed on CySEC public register and reported to ESMA.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
APA/CTP post‑trade publication deadline?,"Publish key data free within 15 minutes; ARM reports transactions up to T+1 business day.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
DEA on regulated markets—one control?,"Members offering DEA must be authorised; RMs ensure algos do not create disorderly markets.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Change of ownership notifications on RMs?,"Notify CySEC within one month (per recap).

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Crowdfunding in slides—what is it?,"Alternative financing via shares or bonds (high‑level context).

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Tied agent basic rule?,"Acts for only one IF/CIF; CySEC approval in one month; termination notification within three days.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
What is on the CySEC public register for CIFs?,"Name, number, date of authorisation, services and instruments.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
Where must conflicts be disclosed?,"To the client before undertaking business.

Source: SALVUS Advanced Examination – Chapter 2.",Chapter 2 – Cypriot Investment Firms (CIFs)
What is product governance at a high level?,"Process ensuring products meet needs of a defined target market with appropriate distribution strategy and reviews.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When can a CIF aggregate client orders?,"When aggregation is unlikely to disadvantage any client; allocate fairly and promptly with a written policy.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Best execution obligation core?,"Take all sufficient steps to obtain the best possible result, considering price, costs, speed, likelihood, size, nature, and other factors.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Order handling requirement?,"Prompt, fair and expeditious execution relative to other client orders; comparable orders executed sequentially unless not practical/clients’ interests require otherwise.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Inducements—when are they allowed?,"Only if they enhance the quality of the service and do not impair acting in the client’s best interest; must be disclosed.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Research vs. inducement principle?,"Research must be paid by the firm (P&L) or via a research payment account; otherwise, it risks being an inducement.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client order record‑keeping?,"Keep records of all services/activities/transactions including client orders for the required retention period.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Conflicts of interest policy elements?,"Identify circumstances leading to conflicts; specify procedures to manage them; disclose where unavoidable.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Periodic assessment of execution quality?,"Monitor and review execution arrangements and venues; publish top execution venues (RTS 28‑style concept in MiFID II context).

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Dealing on own account vs. client orders?,"Controls required to prevent front‑running; segregation of proprietary trading and client order information.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client categorisation relevance to conduct?,"Impacts protections (retail vs. professional vs. eligible counterparties) and disclosures/assessments.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Appropriateness vs. suitability—quick contrast.,"Appropriateness tests product knowledge for non‑advised services; suitability assesses client objectives/risk for advice/PM.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Use of tied agents—conduct angle?,"Ensure agents act in the firm’s best interest, comply with conduct/AML requirements, and are properly supervised.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Marketing communications rule of thumb?,"Fair, clear, not misleading; consistent with legal documents and costs disclosures.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Recording telephone/electronic communications?,"Record and retain relevant communications that relate to activities under MiFID laws.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Product intervention powers (CySEC/ESMA)?,"Authorities may restrict or ban certain products/distribution for consumer protection/market integrity.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
What must an order allocation policy include?,"Fair allocation criteria, treatment of partial fills, timing, and allocation to proprietary accounts.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client money and asset protection linkage?,"Safeguard assets per client asset rules; segregation, reconciliations, and disclosures to clients.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is disclosure of conflicts required?,"As a measure of last resort where arrangements cannot ensure with reasonable confidence the prevention of risk to client interests.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Outsourcing of critical functions—conduct angle?,"Ensure no material impairment of internal control and CySEC oversight; maintain responsibility and effective supervision.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Organisational requirements – what must a CIF establish and maintain?,"Decision‑making procedures; clear organisational structure/reporting lines; internal controls; internal reporting/communication; skilled staff; proportionality applies.

Source: SALVUS Chapter 3 – CIFs Organisational Requirements.",Chapter 3 – CIFs & Banks (Conduct of Business)
Information systems – two key capabilities required?,"Safeguard security/integrity/confidentiality of information; ensure timely recovery/preservation of data/functions after interruptions; deliver true/fair reports per accounting standards.

Source: SALVUS Chapter 3 – Organisational Requirements.",Chapter 3 – CIFs & Banks (Conduct of Business)
How often must firms evaluate their systems/controls?,"Regularly – at least annually – and take measures for deficiencies.

Source: SALVUS Chapter 3 – Organisational Requirements.",Chapter 3 – CIFs & Banks (Conduct of Business)
Compliance function – core responsibilities?,"Permanent monitoring and regular assessment of policies; assist staff to comply with MiFID; report to management (min annually) incl. complaints handling; risk‑based monitoring programme.

Source: SALVUS Chapter 3 – Compliance Function Responsibilities.",Chapter 3 – CIFs & Banks (Conduct of Business)
Compliance officer – independence & authority requirements?,"Appointed/replaced by BoD; reports directly to BoD on weaknesses; cannot perform overseen services; remuneration must not compromise objectivity; must have authority/resources/expertise and information access.

Source: SALVUS Chapter 3 – Compliance Function & Communications.",Chapter 3 – CIFs & Banks (Conduct of Business)
Recording face‑to‑face/phone communications – what details must be captured?,"Date/time; location; identity of attendees; client order info (price, volume, order type, time transmitted/executed).

Source: SALVUS Chapter 3 – Communications.",Chapter 3 – CIFs & Banks (Conduct of Business)
Recordkeeping duration and client notice?,"Inform clients that records may be retained up to 5 years (up to 7 years upon CySEC request). Originals must not be altered/deleted and must be readily accessible.

Source: SALVUS Chapter 3 – Communications/Record Keeping.",Chapter 3 – CIFs & Banks (Conduct of Business)
Outsourcing – what cannot be delegated and what must the firm retain?,"Cannot delegate senior management responsibility; client relationship/obligations unchanged; authorisation conditions not undermined; retain expertise to supervise; immediate termination rights if service quality affected.

Source: SALVUS Chapter 3 – Outsourcing (Factors to consider).",Chapter 3 – CIFs & Banks (Conduct of Business)
Service provider minimum standards (name three)?,"Ability/capacity/resources; effectiveness & legal compliance; risk supervision/management; protect confidentiality; cooperate with authorities.

Source: SALVUS Chapter 3 – Outsourcing (Service Provider).",Chapter 3 – CIFs & Banks (Conduct of Business)
Outsourcing contingency – what plans/tests are required?,"Have disaster recovery/backup facilities with periodic testing covering the outsourced function.

Source: SALVUS Chapter 3 – Outsourcing (Contingency plan).",Chapter 3 – CIFs & Banks (Conduct of Business)
Client assets – five disclosures CIFs must provide?,"Responsibility for third‑party acts/omissions; use of third‑party omnibus accounts; when assets cannot be separated; when subject to non‑EU law; any security interest terms over client instruments/funds.

Source: SALVUS Chapter 3 – Client Assets.",Chapter 3 – CIFs & Banks (Conduct of Business)
Risk management – independence and role?,"Operate independently; monitor adequacy/effectiveness of risk policies/procedures; monitor compliance by employees/arrangements/processes; track measures on identified deficiencies.

Source: SALVUS Chapter 3 – Risk Management.",Chapter 3 – CIFs & Banks (Conduct of Business)
Internal audit – three core duties?,"Establish/implement/maintain audit plan; evaluate adequacy/effectiveness of systems/controls/arrangements; issue recommendations and verify implementation; produce IA report.

Source: SALVUS Chapter 3 – Internal Audit.",Chapter 3 – CIFs & Banks (Conduct of Business)
Conflicts of interest – situations to prevent?,"Financial gain/loss at client expense; interests in transaction outcome; incentives to favour one client over another; carrying on same business as client; inducements linked to client service.

Source: SALVUS Chapter 3 – Conflict of Interest.",Chapter 3 – CIFs & Banks (Conduct of Business)
Conflicts policy – four measures and when to disclose?,"Control information exchange; supervise client‑facing functions; remuneration not linked to conflicting activities; control influences on client‑facing functions; consider group conflicts; disclose to clients only as last resort when measures are insufficient.

Source: SALVUS Chapter 3 – Conflicts of Interest Policy.",Chapter 3 – CIFs & Banks (Conduct of Business)
Investor protection – what information must be given to clients?,"Firm name/services; instruments/strategies; past performance (5y + 12‑month periods) with warnings; execution venues; costs/charges in easy format; **risk font size same as other material**.

Source: SALVUS Chapter 3 – Provision to Ensure Investor Protection.",Chapter 3 – CIFs & Banks (Conduct of Business)
Appropriateness assessment – when required and what if data is missing?,"Assess client knowledge/experience; if client won’t provide info → cannot determine appropriateness and cannot provide the service; if products not appropriate → standardised risk warning required.

Source: SALVUS Chapter 3 – Client Assessment of Appropriateness.",Chapter 3 – CIFs & Banks (Conduct of Business)
Appropriateness exemption – when is it not required?,"When only receiving/transmitting orders at client’s request for certain shares and the client has been informed (per listed conditions in slides).

Source: SALVUS Chapter 3 – Appropriateness (exemption conditions).",Chapter 3 – CIFs & Banks (Conduct of Business)
Professional clients – who qualifies and what option do they have?,"Regulated entities; large undertakings meeting 2 of: BS ≥ €20m; turnover ≥ €40m; own funds ≥ €2m; governments/central banks/institutional investors. They may request to be treated as non‑professional for higher protection.

Source: SALVUS Chapter 3 – Professional Clients.",Chapter 3 – CIFs & Banks (Conduct of Business)
